last,first,pos,num,misses,dz_miss,nz_miss,oz_miss,p1_miss,p2_miss,p3_miss,ot_miss,5v5_miss,ev_miss,pp_miss,sh_miss,miss_for_oi,miss_for_oi_5v5,miss_against_oi,miss_against_oi_5v5,miss_wide,miss_over,miss_post,miss_wrist,miss_slap,miss_snap,miss_back,miss_deflect,miss_tip,miss_wrap,miss_other
KLINGBERG,JOHN,D,3,63.0,0.0,2.0,61.0,25.0,20.0,17.0,1.0,49.0,53.0,10.0,0.0,450.0,329.0,360.0,317.0,56.0,5.0,2.0,35.0,17.0,7.0,4.0,0.0,0.0,0.0,0.0
JOKIPAKKA,JYRKI,D,3,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,29.0,29.0,71.0,55.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
METHOT,MARC,D,3,22.0,0.0,2.0,20.0,3.0,12.0,7.0,0.0,22.0,22.0,0.0,0.0,212.0,198.0,300.0,240.0,19.0,2.0,1.0,7.0,11.0,4.0,0.0,0.0,0.0,0.0,0.0
PYSYK,MARK,D,3,27.0,0.0,0.0,27.0,12.0,8.0,7.0,0.0,23.0,24.0,3.0,0.0,173.0,152.0,174.0,160.0,25.0,1.0,1.0,12.0,10.0,4.0,0.0,0.0,0.0,0.0,1.0
MAATTA,OLLI,D,3,35.0,0.0,0.0,35.0,16.0,8.0,11.0,0.0,32.0,34.0,1.0,0.0,227.0,200.0,239.0,189.0,33.0,1.0,1.0,12.0,20.0,2.0,1.0,0.0,0.0,0.0,0.0
GUDAS,RADKO,D,3,68.0,1.0,7.0,60.0,17.0,30.0,21.0,0.0,61.0,66.0,2.0,0.0,292.0,269.0,297.0,206.0,63.0,5.0,0.0,23.0,29.0,14.0,2.0,0.0,0.0,0.0,0.0
JONES,SETH,D,3,66.0,0.0,0.0,66.0,18.0,21.0,26.0,1.0,55.0,58.0,8.0,0.0,348.0,271.0,295.0,222.0,54.0,9.0,3.0,24.0,26.0,14.0,2.0,0.0,0.0,0.0,0.0
KAMPFER,STEVEN,D,3,19.0,0.0,0.0,19.0,3.0,8.0,8.0,0.0,19.0,19.0,0.0,0.0,111.0,102.0,137.0,114.0,19.0,0.0,0.0,7.0,8.0,3.0,1.0,0.0,0.0,0.0,0.0
HAMONIC,TRAVIS,D,3,70.0,0.0,7.0,63.0,23.0,24.0,20.0,3.0,60.0,64.0,6.0,0.0,305.0,268.0,355.0,271.0,64.0,6.0,0.0,23.0,31.0,11.0,4.0,0.0,1.0,0.0,0.0
DELL,AARON,G,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HAMMOND,ANDREW,G,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238.0,181.0,277.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BIBEAU,ANTOINE,G,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KHUDOBIN,ANTON,G,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,65.0,75.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
